cn1,mc1,:27746.000000
cn2,mc2,:2609129.000000
it1,mi_idx1,:12213.000000
it2,mi_idx2,:5992.000000
kt1,t1,:75845.000000
kt2,t2,:3668.000000
lt,ml,:150.000000
mc1,mi_idx1,:6941650.000000
mc1,ml,:150887.000000
mc1,t1,:2609129.000000
mc2,mi_idx2,:3405809.000000
mc2,ml,:150887.000000
mc2,t2,:126195.000000
mi_idx1,ml,:86994.000000
mi_idx1,t1,:1380035.000000
mi_idx2,ml,:42682.000000
mi_idx2,t2,:32749.000000
ml,t1,:29997.000000
ml,t2,:1451.000000
cn1,mc1,mi_idx1,:150080.000000
cn1,mc1,ml,:3262.000000
cn1,mc1,t1,:56410.000000
cn2,mc2,mi_idx2,:3405809.000000
cn2,mc2,ml,:150887.000000
cn2,mc2,t2,:126195.000000
it1,mc1,mi_idx1,:2313447.000000
it1,mi_idx1,ml,:28993.000000
it1,mi_idx1,t1,:459925.000000
it2,mc2,mi_idx2,:128724.000000
it2,mi_idx2,ml,:1613.000000
it2,mi_idx2,t2,:1238.000000
kt1,mc1,t1,:93761.000000
kt1,mi_idx1,t1,:49593.000000
kt1,ml,t1,:1078.000000
kt2,mc2,t2,:4188.000000
kt2,mi_idx2,t2,:1087.000000
kt2,ml,t2,:48.000000
lt,mc1,ml,:11645.000000
lt,mc2,ml,:11645.000000
lt,mi_idx1,ml,:6714.000000
lt,mi_idx2,ml,:3294.000000
lt,ml,t1,:2315.000000
lt,ml,t2,:112.000000
mc1,mi_idx1,ml,:256758.000000
mc1,mi_idx1,t1,:4073078.000000
mc1,mc2,ml,:745026.000000
mc1,mi_idx2,ml,:210751.000000
mc1,ml,t1,:148115.000000
mc1,ml,t2,:7164.000000
mc2,mi_idx2,ml,:124491.000000
mc2,mi_idx2,t2,:95518.000000
mc2,mi_idx1,ml,:1010432.000000
mc2,ml,t1,:348413.000000
mc2,ml,t2,:16852.000000
mi_idx1,mi_idx2,ml,:89172.000000
mi_idx1,ml,t1,:62670.000000
mi_idx1,ml,t2,:3031.000000
mi_idx2,ml,t1,:37967.000000
mi_idx2,ml,t2,:1836.000000
ml,t1,t2,:1451.000000
cn2,it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:3353.000000
cn2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:6238.000000
cn2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:10058.000000
cn2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:114.000000
cn2,kt1,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1973.000000
cn2,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:39.000000
cn2,it1,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,:355.000000
cn2,it1,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:572.000000
cn2,it1,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t2,:5.000000
cn2,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:896.000000
cn2,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:16.000000
cn2,kt1,kt2,lt,mc2,mi_idx2,ml,t1,t2,:10.000000
cn2,it1,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:38751.000000
cn2,it1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:62476.000000
cn2,it1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1626.000000
cn2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:95034.000000
cn2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:4879.000000
cn2,kt1,kt2,mc1,mc2,mi_idx2,ml,t1,t2,:957.000000
cn2,it1,kt1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3118.000000
cn2,it1,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:206.000000
cn2,kt1,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:281.000000
cn2,it1,kt1,lt,mc1,mc2,mi_idx1,ml,t1,:1500.000000
cn2,it1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:2419.000000
cn2,it1,kt2,lt,mc1,mc2,mi_idx1,ml,t2,:21.000000
cn2,kt1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:3889.000000
cn2,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:64.000000
cn2,kt1,kt2,lt,mc1,mc2,ml,t1,t2,:41.000000
cn2,it1,kt1,lt,mc2,mi_idx1,ml,t1,t2,:210.000000
cn2,it1,kt2,lt,mc2,mi_idx1,ml,t1,t2,:3.000000
cn2,kt1,kt2,lt,mc2,mi_idx1,ml,t1,t2,:19.000000
cn2,it1,kt1,mc1,mc2,mi_idx1,ml,t1,t2,:22902.000000
cn2,it1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:1178.000000
cn2,kt1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:2061.000000
cn2,it1,kt1,kt2,mc2,mi_idx1,ml,t1,t2,:68.000000
it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:179.000000
it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:9.000000
it1,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:436.000000
it1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:702.000000
it1,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:40.000000
it1,it2,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,:3.000000
it1,it2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:4.000000
it1,it2,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t2,:1.000000
it1,it2,kt1,mc1,mi_idx1,mi_idx2,ml,t1,t2,:190.000000
it1,it2,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:10.000000
it1,it2,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,:2.000000
it1,it2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3.000000
it1,it2,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
it1,it2,kt1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:90.000000
it1,it2,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:5.000000
it1,it2,kt1,lt,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it1,it2,kt2,lt,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it1,it2,kt1,kt2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it1,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:2079.000000
it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3353.000000
it1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:38.000000
it1,kt1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:1296.000000
it1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:21.000000
it1,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:368.000000
it1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:8.000000
it1,kt1,kt2,lt,mc1,mi_idx1,ml,t1,t2,:8.000000
it1,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:31678.000000
it1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1626.000000
it1,kt1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:687.000000
it1,kt1,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:174.000000
it1,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:299.000000
it1,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:5.000000
it1,kt1,kt2,lt,mc2,mi_idx1,ml,t1,t2,:6.000000
it1,kt1,kt2,lt,mi_idx1,mi_idx2,ml,t1,t2,:2.000000
it1,kt1,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:94.000000
it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:16.000000
it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:26.000000
it2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
it2,kt1,lt,mc1,mc2,mi_idx2,ml,t1,t2,:9.000000
it2,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:8.000000
it2,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,kt2,lt,mc2,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1888.000000
it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:120.000000
it2,kt1,kt2,mc1,mc2,mi_idx2,ml,t1,t2,:19.000000
it2,kt1,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:8.000000
it2,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:12.000000
it2,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,kt2,lt,mc1,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,kt2,lt,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:17.000000
kt1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:1.000000
kt1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
kt1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:5.000000
kt1,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
kt1,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:5785.000000
kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:432.000000
cn1,cn2,it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,:6.000000
cn1,cn2,it1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:1108.000000
cn1,cn2,it1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:54.000000
cn1,it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:10.000000
cn1,it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,it1,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:33.000000
cn1,it1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:54.000000
cn1,it1,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,it1,it2,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,:1.000000
cn1,it1,it2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it1,it2,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,it1,it2,kt1,mc1,mi_idx1,mi_idx2,ml,t1,t2,:13.000000
cn1,it1,it2,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:3704.000000
cn1,cn2,it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:179.000000
cn1,cn2,it1,kt1,lt,mc1,mc2,mi_idx1,ml,t1,:76.000000
cn1,cn2,it1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:122.000000
cn1,cn2,it1,kt2,lt,mc1,mc2,mi_idx1,ml,t2,:1.000000
cn1,it1,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:111.000000
cn1,it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:179.000000
cn1,it1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,it1,kt1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:95.000000
cn1,it1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:1.000000
cn1,it1,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:25.000000
cn1,it1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it1,kt1,kt2,lt,mc1,mi_idx1,ml,t1,t2,:1.000000
cn1,cn2,it1,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:2736.000000
cn1,cn2,it1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:4411.000000
cn1,cn2,it1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:130.000000
cn1,cn2,it1,kt1,mc1,mc2,mi_idx1,ml,t1,t2,:2503.000000
cn1,cn2,it1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:98.000000
cn1,it1,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3443.000000
cn1,it1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:130.000000
cn1,it1,kt1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:75.000000
cn1,it1,kt1,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:20.000000
cn1,cn2,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:30.000000
cn1,cn2,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,cn2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:333.000000
cn1,cn2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:537.000000
cn1,cn2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:4.000000
cn1,cn2,kt1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:286.000000
cn1,cn2,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:2.000000
cn1,it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:1.000000
cn1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:442.000000
cn1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:4.000000
cn1,kt1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:9.000000
cn1,it2,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it2,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,kt1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:2.000000
cn1,cn2,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:100.000000
cn1,cn2,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:161.000000
cn1,cn2,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:2.000000
cn1,cn2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:10330.000000
cn1,cn2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:389.000000
cn1,cn2,kt1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:225.000000
cn1,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:154.000000
cn1,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:2.000000
cn1,kt1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:310.000000
cn1,it2,kt1,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it2,kt1,lt,mc1,mc2,mi_idx2,ml,t1,:1.000000
cn1,cn2,it2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it2,kt2,lt,mc1,mc2,mi_idx2,ml,t2,:1.000000
cn1,cn2,kt1,lt,mc1,mc2,mi_idx2,ml,t1,t2,:148.000000
cn1,cn2,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,kt1,kt2,lt,mc1,mc2,ml,t1,t2,:3.000000
cn1,it2,kt1,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn1,it2,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn1,kt1,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:4.000000
cn1,it2,kt1,kt2,lt,mc1,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it2,kt1,mc1,mc2,mi_idx2,ml,t1,t2,:51.000000
cn1,cn2,it2,kt2,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,kt1,kt2,mc1,mc2,mi_idx2,ml,t1,t2,:103.000000
cn1,it2,kt1,kt2,mc1,mc2,mi_idx2,ml,t1,t2,:2.000000
cn2,it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:179.000000
cn2,it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:9.000000
cn2,it1,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:436.000000
cn2,it1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:702.000000
cn2,it1,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:40.000000
cn2,it1,it2,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,:2.000000
cn2,it1,it2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3.000000
cn2,it1,it2,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn2,it1,it2,kt1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:90.000000
cn2,it1,it2,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:5.000000
cn2,it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:16.000000
cn2,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:26.000000
cn2,it2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn2,it2,kt1,lt,mc1,mc2,mi_idx2,ml,t1,t2,:9.000000
cn2,it2,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn2,it2,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:8.000000
cn2,it2,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn2,it2,kt1,kt2,lt,mc2,mi_idx2,ml,t1,t2,:1.000000
cn2,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1888.000000
cn2,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:120.000000
cn2,it2,kt1,kt2,mc1,mc2,mi_idx2,ml,t1,t2,:19.000000
cn2,it2,kt1,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:8.000000
cn2,it1,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:2079.000000
cn2,it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3353.000000
cn2,it1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:38.000000
cn2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:5785.000000
cn2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:114.000000
cn2,kt1,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:59.000000
cn2,it1,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:299.000000
cn2,it1,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:5.000000
cn2,kt1,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:27.000000
cn2,it1,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:31678.000000
cn2,it1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1626.000000
cn2,kt1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:2851.000000
cn2,it1,kt1,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:94.000000
cn2,it1,kt1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:1296.000000
cn2,it1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:21.000000
cn2,kt1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:117.000000
cn2,it1,kt1,kt2,lt,mc2,mi_idx1,ml,t1,t2,:6.000000
cn2,it1,kt1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:687.000000
it1,it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:5.000000
it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:9.000000
it1,it2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
it1,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:629.000000
it1,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:40.000000
it1,it2,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:4.000000
it1,it2,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it1,it2,kt1,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:6.000000
it1,it2,kt1,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3.000000
it1,it2,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it1,it2,kt1,kt2,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3.000000
it1,it2,kt1,kt2,lt,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it1,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1928.000000
it1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:38.000000
it1,kt1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:39.000000
it1,kt1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:11.000000
it1,kt1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:950.000000
it1,kt1,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:9.000000
it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:25.000000
it2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,kt2,lt,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
it2,kt1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:57.000000
it2,kt1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
kt1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:10.000000
cn1,cn2,it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,cn2,it1,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:33.000000
cn1,cn2,it1,it2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:54.000000
cn1,cn2,it1,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,it1,it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:1.000000
cn1,it1,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it1,it2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,it1,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:51.000000
cn1,it1,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it1,it2,kt1,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it1,it2,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it1,it2,kt1,kt2,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it1,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:111.000000
cn1,cn2,it1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:179.000000
cn1,cn2,it1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,cn2,it1,kt1,lt,mc1,mc2,mi_idx1,ml,t1,t2,:95.000000
cn1,cn2,it1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:1.000000
cn1,it1,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:147.000000
cn1,it1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it1,kt1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:3.000000
cn1,it1,kt1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it1,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:3443.000000
cn1,cn2,it1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:130.000000
cn1,cn2,it1,kt1,kt2,mc1,mc2,mi_idx1,ml,t1,t2,:75.000000
cn1,it1,kt1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:103.000000
cn1,cn2,it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:1.000000
cn1,cn2,it2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t2,:1.000000
cn1,cn2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:442.000000
cn1,cn2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:4.000000
cn1,cn2,kt1,kt2,lt,mc1,mc2,mi_idx1,ml,t1,t2,:9.000000
cn1,it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,it2,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,kt1,kt2,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:13.000000
cn1,it2,kt1,kt2,lt,mc1,mi_idx1,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it2,kt1,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:154.000000
cn1,cn2,it2,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:2.000000
cn1,cn2,kt1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:310.000000
cn1,it2,kt1,kt2,mc1,mc2,mi_idx1,mi_idx2,ml,t1,t2,:5.000000
cn1,cn2,it2,kt1,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it2,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,kt1,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:4.000000
cn1,it2,kt1,kt2,lt,mc1,mc2,mi_idx2,ml,t1,t2,:1.000000
cn1,cn2,it2,kt1,kt2,mc1,mc2,mi_idx2,ml,t1,t2,:2.000000
cn2,it1,it2,kt1,lt,mc1,mc2,mi_idx1,mi_idx2,ml,t1,:5.000000
